Rank,CCA3,Country/Territory,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
143,QAT,Qatar,11586,232.6189,1.0026,0.03,1980,277450
114,COG,Republic of the Congo,342000,17.4574,1.0231,0.07,1980,1829256
161,REU,Reunion,2511,387.914,1.0082,0.01,1980,551674
64,ROU,Romania,238391,82.4665,1.0171,0.25,1980,22125224
9,RUS,Russia,17098242,8.4636,0.9973,1.81,1980,138257420
76,RWA,Rwanda,26338,523.0731,1.0234,0.17,1980,5247532
228,BLM,Saint Barthelemy,21,522.2381,1.0098,0.0,1980,2983
211,KNA,Saint Kitts and Nevis,261,182.5939,1.0011,0.0,1980,43097
190,LCA,Saint Lucia,616,291.9756,1.0011,0.0,1980,121633
220,MAF,Saint Martin,53,599.8302,0.9951,0.0,1980,7776
229,SPM,Saint Pierre and Miquelon,242,24.2231,0.9964,0.0,1980,6106
199,VCT,Saint Vincent and the Grenadines,389,267.2185,0.9963,0.0,1980,107480
188,WSM,Samoa,2842,78.2484,1.0165,0.0,1980,164905
218,SMR,San Marino,61,551.8033,0.9975,0.0,1980,21346
187,STP,Sao Tome and Principe,964,235.8714,1.0192,0.0,1980,97210
41,SAU,Saudi Arabia,2149690,16.9368,1.0128,0.46,1980,10171710
72,SEN,Senegal,196722,88.025,1.0261,0.22,1980,5703869
105,SRB,Serbia,88361,81.7257,0.9897,0.09,1980,7777010
196,SYC,Seychelles,452,236.9867,1.0061,0.0,1980,65290
102,SLE,Sierra Leone,71740,119.957,1.022,0.11,1980,3367477
113,SGP,Singapore,710,8416.4634,1.0058,0.07,1980,2400729
214,SXM,Sint Maarten,34,1299.2647,1.003,0.0,1980,12243
116,SVK,Slovakia,49037,115.0856,1.0359,0.07,1980,4973883
148,SVN,Slovenia,20273,104.5649,1.0002,0.03,1980,1901570
166,SLB,Solomon Islands,28896,25.0648,1.0232,0.01,1980,233668
70,SOM,Somalia,637657,27.5971,1.0312,0.22,1980,5892224
24,ZAF,South Africa,1221037,49.0517,1.0084,0.75,1980,29463549
29,KOR,South Korea,100210,517.0722,0.9997,0.65,1980,38170501
86,SSD,South Sudan,619745,17.6091,1.0153,0.14,1980,4192011
30,ESP,Spain,505992,93.9909,1.0015,0.6,1980,37491666
61,LKA,Sri Lanka,65610,332.7563,1.0027,0.27,1980,14943645
32,SDN,Sudan,1886068,24.8529,1.0267,0.59,1980,16673586
170,SUR,Suriname,163820,3.7727,1.0082,0.01,1980,375112
87,SWE,Sweden,450295,23.4276,1.0079,0.13,1980,8311763
101,CHE,Switzerland,41284,211.7157,1.0056,0.11,1980,6319113
60,SYR,Syria,185180,119.4797,1.0376,0.28,1980,8898954
57,TWN,Taiwan,36193,660.1662,1.0014,0.3,1980,18100281
95,TJK,Tajikistan,143100,69.5513,1.0208,0.12,1980,4045965
22,TZA,Tanzania,945087,69.3034,1.03,0.82,1980,19297659
20,THA,Thailand,513120,139.7276,1.0013,0.9,1980,45737753
155,TLS,Timor-Leste,14874,90.1772,1.0154,0.02,1980,642224
100,TGO,Togo,56785,155.8281,1.0236,0.11,1980,2838110
233,TKL,Tokelau,12,155.9167,1.0119,0.0,1980,1647
197,TON,Tonga,747,143.0495,1.0079,0.0,1980,96708
153,TTO,Trinidad and Tobago,5130,298.4491,1.0035,0.02,1980,1127852
79,TUN,Tunisia,163610,75.5218,1.0076,0.15,1980,6578156
18,TUR,Turkey,783562,108.9145,1.0067,1.07,1980,44089069
111,TKM,Turkmenistan,488100,13.1751,1.014,0.08,1980,2862903
212,TCA,Turks and Caicos Islands,948,48.2099,1.0131,0.0,1980,7598
227,TUV,Tuvalu,26,435.0769,1.0096,0.0,1980,7731
31,UGA,Uganda,241550,195.61,1.0304,0.59,1980,13284026
38,UKR,Ukraine,603500,65.7858,0.912,0.5,1980,49973920
97,ARE,United Arab Emirates,83600,112.9322,1.0081,0.12,1980,1014048
21,GBR,United Kingdom,242900,277.9289,1.0034,0.85,1980,56326328
3,USA,United States,9372610,36.0935,1.0038,4.24,1980,223140018
200,VIR,United States Virgin Islands,347,286.6427,0.9937,0.0,1980,96640
133,URY,Uruguay,181034,18.9069,0.999,0.04,1980,2953750
43,UZB,Uzbekistan,447400,77.3975,1.016,0.43,1980,15947129
181,VUT,Vanuatu,12189,26.8061,1.0238,0.0,1980,118156
234,VAT,Vatican City,1,510.0,0.998,0.0,1980,733
51,VEN,Venezuela,916445,30.882,1.0036,0.35,1980,15210443
16,VNM,Vietnam,331212,296.4472,1.0074,1.23,1980,52968270
226,WLF,Wallis and Futuna,142,81.493,0.9953,0.0,1980,11315
172,ESH,Western Sahara,266000,2.1654,1.0184,0.01,1980,116775
46,YEM,Yemen,527968,63.8232,1.0217,0.42,1980,9204938
63,ZMB,Zambia,752612,26.5976,1.028,0.25,1980,5720438
74,ZWE,Zimbabwe,390757,41.7665,1.0204,0.2,1980,7049926
36,AFG,Afghanistan,652230,63.0587,1.0257,0.52,1970,10752971
138,ALB,Albania,28748,98.8702,0.9957,0.04,1970,2324731
34,DZA,Algeria,2381741,18.8531,1.0164,0.56,1970,13795915
213,ASM,American Samoa,199,222.4774,0.9831,0.0,1970,27075
203,AND,Andorra,468,170.5641,1.01,0.0,1970,19860
42,AGO,Angola,1246700,28.5466,1.0315,0.45,1970,6029700
224,AIA,Anguilla,91,174.2527,1.0066,0.0,1970,6283
201,ATG,Antigua and Barbuda,442,212.1335,1.0058,0.0,1970,64516
33,ARG,Argentina,2780400,16.3683,1.0052,0.57,1970,23842803
140,ARM,Armenia,29743,93.4831,0.9962,0.03,1970,2534377
198,ABW,Aruba,180,591.3611,0.9991,0.0,1970,59106
55,AUS,Australia,7692024,3.4032,1.0099,0.33,1970,12595034
99,AUT,Austria,83871,106.5877,1.002,0.11,1970,7465301
91,AZE,Azerbaijan,86600,119.6082,1.0044,0.13,1970,5425317
176,BHS,Bahamas,13943,29.4043,1.0051,0.01,1970,179129
154,BHR,Bahrain,765,1924.4876,1.0061,0.02,1970,222555
8,BGD,Bangladesh,147570,1160.035,1.0108,2.15,1970,67541860
186,BRB,Barbados,430,654.9651,1.0015,0.0,1970,241397
96,BLR,Belarus,207600,45.9295,0.9955,0.12,1970,9170786
81,BEL,Belgium,30528,381.8111,1.0038,0.15,1970,9629376
177,BLZ,Belize,22966,17.6466,1.0131,0.01,1970,120905
77,BEN,Benin,112622,118.5635,1.0274,0.17,1970,3023443
206,BMU,Bermuda,54,1188.5926,1.0,0.0,1970,52019
165,BTN,Bhutan,38394,20.3796,1.0064,0.01,1970,298894
80,BOL,Bolivia,1098581,11.1272,1.012,0.15,1970,4585693
137,BIH,Bosnia and Herzegovina,51209,63.1437,0.9886,0.04,1970,3815561
144,BWA,Botswana,582000,4.5194,1.0162,0.03,1970,592244
7,BRA,Brazil,8515767,25.2841,1.0046,2.7,1970,96369875
