COUNTRY,COICOP_1999,TIME_PERIOD,OBS_VALUE
ARE,Aggregate,2021-Q4,100.9263625053297
ARE,Aggregate,2022-Q1,102.086656656158
ARE,Aggregate,2022-Q2,105.1161539932223
ARE,Aggregate,2022-Q3,106.4971355065263
ARE,Aggregate,2022-Q4,105.5986075761287
ARE,Aggregate,2023-Q1,105.5372302584943
ARE,Aggregate,2023-Q2,105.9989923929703
ARE,Aggregate,2023-Q3,107.012139471301
ARE,Aggregate,2023-Q4,107.570956287059
ARE,Aggregate,2024-Q1,107.5410890639347
ARE,Aggregate,2024-Q2,108.3913880252733
ARE,Aggregate,2024-Q3,108.620979483852
ARE,Aggregate,2024-Q4,108.6537818731347
ARE,Aggregate,2025-Q1,109.0260772333333
ARG,Aggregate,2017-Q1,103.8064666666667
ARG,Aggregate,2017-Q2,110.4481666666667
ARG,Aggregate,2017-Q3,115.5796666666667
ARG,Aggregate,2017-Q4,121.7141333333333
ARG,Aggregate,2018-Q1,130.0515666666667
ARG,Aggregate,2018-Q2,140.3819333333333
ARG,Aggregate,2018-Q3,156.5461
ARG,Aggregate,2018-Q4,179.3471
ARG,Aggregate,2019-Q1,197.4391
ARG,Aggregate,2019-Q2,219.3859333333333
ARG,Aggregate,2019-Q3,241.2706333333333
ARG,Aggregate,2019-Q4,272.9087
ARG,Aggregate,2020-Q1,297.0158
ARG,Aggregate,2020-Q2,315.6689333333333
ARG,Aggregate,2020-Q3,337.2951
ARG,Aggregate,2020-Q4,372.1869
ARG,Aggregate,2021-Q1,417.7441
ARG,Aggregate,2021-Q2,468.6600666666667
ARG,Aggregate,2021-Q3,512.3299
ARG,Aggregate,2021-Q4,563.4853666666667
ARG,Aggregate,2022-Q1,638.1741333333333
ARG,Aggregate,2022-Q2,754.3715666666667
ARG,Aggregate,2022-Q3,910.0667333333333
ARG,Aggregate,2022-Q4,1080.8574
ARG,Aggregate,2023-Q1,1288.9494
ARG,Aggregate,2023-Q2,1606.805233333333
ARG,Aggregate,2023-Q3,2055.763733333333
ARG,Aggregate,2023-Q4,2948.509333333333
ARG,Aggregate,2024-Q1,4814.804466666667
ARG,Aggregate,2024-Q2,6085.214533333333
ARG,Aggregate,2024-Q3,6871.1
ARG,Aggregate,2024-Q4,7499.8
ARG,Aggregate,2025-Q1,8090.133333333333
ARM,Aggregate,2016-Q1,125.4708715153057
ARM,Aggregate,2016-Q2,123.4577447168127
ARM,Aggregate,2016-Q3,119.602307894086
ARM,Aggregate,2016-Q4,121.4195688462283
ARM,Aggregate,2017-Q1,125.0660394475303
ARM,Aggregate,2017-Q2,125.0567140363827
ARM,Aggregate,2017-Q3,120.706810916268
ARM,Aggregate,2017-Q4,123.871259592447
ARM,Aggregate,2018-Q1,129.170964908087
ARM,Aggregate,2018-Q2,127.064312878483
ARM,Aggregate,2018-Q3,124.3983258725967
ARM,Aggregate,2018-Q4,126.534837807623
ARM,Aggregate,2019-Q1,131.1372762317213
ARM,Aggregate,2019-Q2,130.1842901445833
ARM,Aggregate,2019-Q3,125.540951097327
ARM,Aggregate,2019-Q4,127.626629656871
ARM,Aggregate,2020-Q1,130.972509689283
ARM,Aggregate,2020-Q2,131.7815187581483
ARM,Aggregate,2020-Q3,127.536046824721
ARM,Aggregate,2020-Q4,130.4317774625953
ARM,Aggregate,2021-Q1,137.7935832628343
ARM,Aggregate,2021-Q2,139.933407204913
ARM,Aggregate,2021-Q3,138.543549853057
ARM,Aggregate,2021-Q4,141.864325082277
ARM,Aggregate,2022-Q1,147.4322662670747
ARM,Aggregate,2022-Q2,152.841825866715
ARM,Aggregate,2022-Q3,151.6431455465697
ARM,Aggregate,2022-Q4,154.4455652030337
ARM,Aggregate,2023-Q1,158.0083567556607
ARM,Aggregate,2023-Q2,154.8837483300483
ARM,Aggregate,2023-Q3,151.5459628274407
ARM,Aggregate,2023-Q4,153.9332577701697
ARM,Aggregate,2024-Q1,156.0530436757307
ARM,Aggregate,2024-Q2,155.0384886871703
ARM,Aggregate,2024-Q3,153.2452432719993
ARM,Aggregate,2024-Q4,155.701134841255
ATG,Aggregate,2016-Q1,96.62221457382317
ATG,Aggregate,2016-Q2,95.6375661183972
ATG,Aggregate,2016-Q3,95.9410863947057
ATG,Aggregate,2016-Q4,96.1537895804652
ATG,Aggregate,2017-Q1,98.44811607854503
ATG,Aggregate,2017-Q2,98.43138661449653
ATG,Aggregate,2017-Q3,98.40270753327053
ATG,Aggregate,2017-Q4,98.42182692075453
ATG,Aggregate,2018-Q1,98.92666666666667
ATG,Aggregate,2018-Q2,99.62
ATG,Aggregate,2018-Q3,99.87
ATG,Aggregate,2018-Q4,100.04
ATG,Aggregate,2019-Q1,99.83
ATG,Aggregate,2019-Q2,101.4733333333333
ATG,Aggregate,2019-Q3,101.4866666666667
ATG,Aggregate,2019-Q4,101.37
ATG,Aggregate,2020-Q1,101.64
ATG,Aggregate,2020-Q2,100.6033333333333
ATG,Aggregate,2020-Q3,101.81
ATG,Aggregate,2020-Q4,102.6366666666667
ATG,Aggregate,2021-Q1,103.31
ATG,Aggregate,2021-Q2,103.1
ATG,Aggregate,2021-Q3,103.6866666666667
ATG,Aggregate,2021-Q4,104.9833333333333
ATG,Aggregate,2022-Q1,107.9733333333333
ATG,Aggregate,2022-Q2,111.86
ATG,Aggregate,2022-Q3,112.5033333333333
ATG,Aggregate,2022-Q4,114.0033333333333
ATG,Aggregate,2023-Q1,114.2433333333333
ATG,Aggregate,2023-Q2,117.77
ATG,Aggregate,2023-Q3,118.95
ATG,Aggregate,2023-Q4,117.9933333333333
ATG,Aggregate,2024-Q1,121.6
ATG,Aggregate,2024-Q2,125.3366666666667
ATG,Aggregate,2024-Q3,126.4
ATG,Aggregate,2024-Q4,124.69
AUS,Aggregate,2016-Q1,108.2
AUS,Aggregate,2016-Q2,108.6
AUS,Aggregate,2016-Q3,109.4
AUS,Aggregate,2016-Q4,110
AUS,Aggregate,2017-Q1,110.5
AUS,Aggregate,2017-Q2,110.7
AUS,Aggregate,2017-Q3,111.4
AUS,Aggregate,2017-Q4,112.1
AUS,Aggregate,2018-Q1,112.6
AUS,Aggregate,2018-Q2,113
AUS,Aggregate,2018-Q3,113.5
AUS,Aggregate,2018-Q4,114.1
AUS,Aggregate,2019-Q1,114.1
AUS,Aggregate,2019-Q2,114.8
AUS,Aggregate,2019-Q3,115.4
AUS,Aggregate,2019-Q4,116.2
AUS,Aggregate,2020-Q1,116.6
AUS,Aggregate,2020-Q2,114.4
AUS,Aggregate,2020-Q3,116.2
AUS,Aggregate,2020-Q4,117.2
AUS,Aggregate,2021-Q1,117.9
AUS,Aggregate,2021-Q2,118.8
AUS,Aggregate,2021-Q3,119.7
AUS,Aggregate,2021-Q4,121.3
AUS,Aggregate,2022-Q1,123.9
AUS,Aggregate,2022-Q2,126.1
AUS,Aggregate,2022-Q3,128.4
AUS,Aggregate,2022-Q4,130.8
AUS,Aggregate,2023-Q1,132.6
AUS,Aggregate,2023-Q2,133.7
AUS,Aggregate,2023-Q3,135.3
AUS,Aggregate,2023-Q4,136.1
AUS,Aggregate,2024-Q1,137.4
